#,Facebook Question,Answer
1,Win l'emplacement mta3 kachabiti?,المقر متاعنا في خنّيس، ولاية المنستير 🏠
2,Win l'adresse mta3kom?,المقر متاعنا في خنّيس، ولاية المنستير 🏠
3,Kifech n3adi une commande?,خلّيلنا طولك ووزنك، رقمك 📞 وعنوانك بالكامل 📍 وتوصلك وين تحب 🚚😉
4,Chnowa les infos li bech te7tajouhom bch t'prépareli une commande?,نحتاجو طولك، وزنك، رقم هاتفك، وعنوانك بالكامل باش نوصّلوك 📦
5,njm n7el collis 9bal man5alas?,إيه، تنجم تحلّ الكولي وتقيس كان تحب ✅
6,B9adech le prix du livraison?,ثمن التوصل 8 د 🚚
7,B9adech le prix mta3 l'kachabiya dimi?,سوم القشّابية دمي 159 د، مصنوعة من الصوف الأصلي 100% 🧵. ثمن التوصل 8 د.
8,Chnowa la matière mta3 l'kachabiya dimi?,القشّابية دمي مصنوعة من الصوف الأصلي 100% 🧵
9,B9adech le prix mta3 l'kachabiya marocaine?,سوم القشّابية المغربية 149 د 💰
10,B9adech le prix mta3 l'kachabiya wazra?,سوم القشّابية وزرة 149 د. ثمن التوصل 8 د 🚚
11,B9adech le prix mta3 l'kachabiya zmeniya?,سوم القشّابية الزمنيّة 260 د، مصنوعة من الصوف الأصلي 100% 🧵. ثمن التوصل 8 د.
12,3andkom kachabiya l'enfants?,إيه، عندنا القشّابية الزمنيّة للصغار بسوم 69 د. ثمن التوصل 8 د 🚚
13,B9adech le prix mta3 l'kachabiya zmeniya l'enfants?,سوم القشّابية الزمنيّة للصغار 69 د 💰. ثمن التوصل 8 د.
14,B9adech le prix mta3 l'kachabiya moderne?,عندنا موديلين من القشّابية مودارن: واحدة بـ 69 د وواحدة بـ 129 د 💰
15,B9adech le prix mta3 l'kachabiya men9oucha?,سوم القشّابية المنقوشة 79 د 💰
16,B9adech le prix mta3 l'kachabiya zouz akabache?,سوم القشّابية زوز آكباش 69 د 💰
17,B9adech le prix mta3 l'bernous zmeni?,سوم البرنوس الزمني 380 د 💰
18,B9adech le prix mta3 l'chachiya tunisienne?,سوم الشاشية التونسية 39 د. ثمن التوصل 8 د 💰
19,Kifech na3rif la taille te3i?,خلّيلنا طولك ووزنك وخلّي الباقي علينا 😉
20,Kifech n'contactikom?,تنجم تتواصل معانا على الرقم 📞 55558648، أو تعطينا رقمك وأحنا نتصلوا بيك 📲
21,Chnowa le numéro mta3kom?,رقمنا 📞 55558648
22,3andkom un site web?,إيه، موقعنا 🌐 kachabiti.com تلقى فيه جميع التفاصيل
23,"l commande t'akhret, chnowa la raison?",سامحنا، عندنا ضغط كبير برشا في الطلبيات. إن شاء الله توصلك قريب 🙏
24,Chnowa les modèles disponibles 3andkom?,عندنا: القشّابية دمي (159د)، المغربية (149د)، وزرة (149د)، الزمنيّة (260د)، الزمنيّة للصغار (69د)، مودارن (69د أو 129د)، المنقوشة (79د)، زوز آكباش (69د)، البرنوس الزمني (380د)، والشاشية التونسية (39د) 🛍️
25,Chnowa le modèle li t7ebouh?,عندنا برشة موديلات! قشّابية دمي، مغربية، وزرة، زمنيّة، مودارن، منقوشة، زوز آكباش، وبرنوس زمني. شنوا الي يعجبك وأحنا نعطيك كل التفاصيل 😊
26,Ta3mlou la livraison l'koll la Tunisie?,إيه، نوصّلوك وين تحب في تونس 🚚😉. ثمن التوصل 8 د.